id,x,y,cell,capacity
109,39,12,298,2.1979594675772174
110,61,48,444,15.651771128820004
111,90,7,537,55.801065764664386
112,2,54,214,24.55329125034981
113,75,98,647,10.688138715859395
114,72,79,151,2.4481713830014944
115,50,37,198,2.867137303778634
116,58,76,581,52.99971931065825
117,32,69,602,31.701739333907646
118,66,8,91,6.14056149630318
119,2,19,672,89.36722808854933
120,99,55,263,7.354691893360258
121,88,39,1063,14.569852344790405
122,89,72,820,41.11659610907808
123,45,93,906,8.495444036392408
124,0,72,337,22.59224357613939
125,56,11,298,1.690150360831228
126,58,10,224,18.71694627554502
127,4,64,189,2.5771505242198356
128,69,29,912,37.345012329693326
129,74,4,160,18.928333056258587
130,20,43,189,2.466290263450339
131,79,40,550,25.09603730224398
132,29,12,889,97.93673722748788
133,53,90,907,34.305990142635245
134,66,2,472,25.330349298536913
135,51,20,298,1.9034442453855054
136,10,9,191,3.1368700332191515
137,28,78,604,84.91931525509824
138,61,14,298,1.7646981923880385
139,94,77,819,47.41332844723199
140,60,62,437,47.003434462134955
141,90,53,526,12.776921733203174
142,73,69,639,13.838841423931298
143,52,84,902,81.9265268767017
144,24,64,950,28.11353991723328
145,48,28,512,58.48471016466089
146,72,95,647,21.55786898479146
147,18,61,155,3.605303369489273
148,63,18,298,1.7536179488035843
149,12,51,189,2.6292801553045386
150,36,5,191,2.9683801626518314
151,58,21,733,50.99833490683328
152,50,48,198,3.219733957107144
153,98,60,263,7.176904306896481
154,72,20,198,2.6794246262552455
155,87,46,530,73.92511513725864
156,61,31,198,2.846346863073763
157,39,16,896,21.726227832420737
158,17,0,300,7.899723704942133
159,95,26,151,1.8254501377419385
160,18,22,717,14.28222319545984
161,81,31,151,1.8058621760623785
162,85,27,1050,18.783217791416572
163,40,21,298,2.037100360648361
164,34,44,308,3.175489090901594
165,63,75,654,14.826289326637195
166,83,32,1050,9.068549686635304
167,45,34,1121,21.368078688816794
168,41,46,308,3.3245983007461444
169,71,97,647,17.663342284579958
170,93,65,263,8.204455136824775
171,61,73,583,52.06091332390918
172,21,36,727,8.01618726483376
173,78,45,989,46.00007266487602
174,35,91,1127,50.20734580169759
175,22,63,336,4.687392430340602
176,43,1,191,2.804865940420647
177,90,84,1141,57.19754921541007
178,22,31,336,4.057605309880384
179,18,35,727,11.684368370849006
180,92,13,404,11.901349438837828
181,0,62,189,2.5024969545535156
182,98,0,65,22.956167790568184
183,66,4,473,47.90859003464348
184,29,92,968,96.12263043094849
185,98,87,150,11.757197722468735
186,35,29,938,44.00072851982265
187,1,66,155,3.8298442987436783
188,3,93,1012,88.00700081771006
189,57,95,591,60.0049061949299
190,49,45,198,3.147467975865761
191,25,64,336,5.004311108321076
192,52,38,198,2.969393246479992
193,11,31,717,31.56109648970917
194,75,66,151,2.246462342718819
195,14,56,189,2.490634239146541
196,87,40,1035,45.057815932403955
197,14,99,1006,70.33315322019982
198,43,1,191,2.804865940420647
199,84,8,1000,31.305616825511073
200,99,17,922,53.11542419336776
201,75,80,650,29.682569936902844
202,19,42,189,2.5046200368644804
203,69,61,285,23.611716450006416
204,40,16,896,16.671239394919144
205,8,41,678,16.08467242503204
206,29,70,602,20.39183243381971
207,32,92,959,84.34860615684323
208,31,93,958,33.47136347630187
209,42,96,961,29.1577434799027
210,63,14,298,1.7223662755755715
211,3,26,677,49.119272063186784
212,42,3,191,2.8192868398727273
213,50,68,308,3.7570132955094593
214,91,47,1032,54.0358304608236
215,33,9,888,16.621047792888586
216,74,22,569,14.912961311188191
217,67,10,91,6.37617845804089
218,81,70,639,40.56359188284353
219,56,23,731,61.03455346921915
220,50,15,298,2.0829462184494036
221,22,81,691,97.46257787960093
222,63,2,89,19.60693811645229
223,99,43,455,53.59404767924659
224,6,61,189,2.648489525115747
225,4,87,777,35.69012384089296
226,59,47,79,25.23914895236093
227,33,41,308,3.1173309036805508
